Date,autre_proteine,feculent,fruit,laitage,legume,sucrerie,sauce,poisson_fruit_mer,viande_blanche,viande_rouge,bio,industriel
2011-03-14,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
2011-03-15,0.0,0.0,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
2011-03-16,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-03-17,0.0,0.13888888888888887,0.2222222222222222,0.16666666666666666,0.3055555555555555,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
2011-03-18,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
2011-03-21,0.0,0.1,0.3,0.2,0.1,0.0,0.0,0.0,0.3,0.0,0.2,0.2
2011-03-22,0.07142857142857142,0.11904761904761904,0.19047619047619047,0.14285714285714285,0.11904761904761904,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,0.14285714285714285
2011-03-23,0.0,0.0,0.3,0.2,0.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0
2011-03-24,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
2011-03-25,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333
2011-03-28,0.125,0.0,0.125,0.25,0.25,0.0,0.0,0.125,0.0,0.125,0.0,0.0
2011-03-29,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-03-30,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-03-31,0.0,0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666
2011-04-01,0.0,0.2,0.2,0.3,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.2
2011-04-04,0.08333333333333333,0.25,0.0,0.25,0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.25
2011-04-05,0.0,0.1,0.0,0.3,0.3,0.0,0.0,0.1,0.2,0.0,0.0,0.2
2011-04-06,0.0,0.1,0.2,0.2,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.2
2011-04-07,0.1,0.2,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.2,0.0
2011-04-08,0.0,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2011-04-11,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2011-04-12,0.0,0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2011-04-13,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2011-04-14,0.08333333333333333,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.13888888888888887,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0
2011-04-15,0.0,0.0625,0.0625,0.25,0.3125,0.0,0.125,0.1875,0.0,0.0,0.25,0.25
2011-04-18,0.0,0.0,0.25,0.125,0.375,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-04-19,0.2,0.1,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2011-04-20,0.0,0.0,0.125,0.125,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0
2011-04-21,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
2011-04-22,0.0,0.2,0.26666666666666666,0.2,0.06666666666666667,0.0,0.1,0.16666666666666666,0.0,0.0,0.0,0.6
2011-04-26,0.1,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.1,0.2,0.2
2011-04-27,0.0,0.25,0.125,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-28,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.5
2011-04-29,0.0,0.1,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.2
2011-05-02,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
2011-05-03,0.0,0.25,0.125,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-04,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.2
2011-05-05,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2011-05-06,0.0,0.1,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0
2011-05-09,0.125,0.0,0.25,0.125,0.25,0.125,0.0,0.0,0.0,0.125,0.0,0.25
2011-05-10,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
2011-05-11,0.1,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0
2011-05-12,0.0,0.16666666666666666,0.26666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.2,0.0,0.2,0.0
2011-05-13,0.0,0.125,0.25,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2011-05-16,0.06666666666666667,0.0,0.36666666666666664,0.2,0.26666666666666666,0.0,0.0,0.1,0.0,0.0,0.0,0.2
2011-05-17,0.0,0.125,0.125,0.125,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0
2011-05-18,0.0,0.125,0.0,0.25,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.25
2011-05-19,0.1,0.1,0.2,0.0,0.3,0.0,0.2,0.0,0.0,0.1,0.0,0.2
2011-05-20,0.25,0.25,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0
2011-05-23,0.0,0.3333333333333333,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333
2011-05-24,0.0,0.15,0.25,0.2,0.15,0.0,0.0,0.0,0.25,0.0,0.0,0.2
2011-05-25,0.0,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2011-05-26,0.0,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2
