index,Date,Plat,Wfeculent,Wfruit,Wlegume,Wbio,Windustriel,month,match,category,is_saison
3159,2015-10-16,Carottes râpées bio,0.0,0.0,0.5,1,0,10,carotte,legume,True
3162,2015-10-22,Taboulé,0.5,0.0,0.5,0,0,10,,,False
3163,2015-10-23,Courgettes à la tomate,0.0,0.5,0.5,0,0,10,courge,legume,True
3164,2015-10-23,fruit de saison,0.0,1.0,0.0,0,0,10,fruit de saison,fruit,True
3165,2015-10-27,Pizza,0.5,0.0,0.5,0,0,10,,,False
3167,2015-10-29,Choux rouges au gruyère,0.0,0.0,0.5,0,0,10,chou,legume,True
3168,2015-10-30,Galette de légumes Monde des Crêpes,0.0,0.0,1.0,0,0,10,,,False
3169,2015-11-02,Hachis Parmentier,0.5,0.0,0.0,0,1,11,,,False
3171,2015-11-06,Petits poissons panés,0.0,0.0,0.5,0,0,11,pois,feculent,False
3176,2015-11-17,Haricots verts/haricots beurre  coupés,0.5,0.0,0.5,0,0,11,haricots verts,legume,False
3177,2015-11-17,Eclair chocolat,0.5,0.0,0.0,0,1,11,,,False
3178,2015-11-20,Salade verte,0.0,0.0,1.0,0,0,11,salade verte,legume,True
3180,2015-11-25,Pomme,0.0,1.0,0.0,0,0,11,pomme,fruit,True
3181,2015-11-26,Endives / surimi,0.0,0.0,0.5,0,1,11,endive,legume,True
3184,2015-11-27,Clémentines,0.0,1.0,0.0,0,0,11,clementine,fruit,False
3185,2015-12-02,Poire,0.0,1.0,0.0,0,0,12,poire,fruit,True
3186,2015-12-14,Haché de volaille,0.0,0.0,1.0,0,0,12,ail,legume,True
3188,2015-12-23,Tartiflette aux lardons,0.5,0.0,0.0,0,0,12,,,False
3191,2016-01-20,Clémentines,0.0,1.0,0.0,0,0,1,clementine,fruit,False
3192,2016-01-21,Timbale de pâtes,0.5,0.0,0.0,0,1,1,,,False
3195,2016-02-08,"Pâtes à la bolognaise
 Terre à l'assiette",0.5,0.0,0.0,0,0,2,,,False
