Date,Plat,category,isPresent
2011-03-22,rôti de bœuf,autre protéine,True
2011-04-19,Omelette,autre protéine,True
2011-04-26,Bœuf Bourguignon,autre protéine,True
2011-12-28,sauté de bœuf Dijonnaise,autre protéine,True
2012-01-26,Rôti de bœuf,autre protéine,True
2012-03-06,sauté de bœuf,autre protéine,True
2012-08-27,Sauté de boeuf,autre protéine,True
2012-10-03,Sauté de bœuf Bourguignon,autre protéine,True
2013-10-30,Rôti de bœuf +jus,autre protéine,True
2013-11-07,Sauté de bœuf,autre protéine,True
2014-03-28,Omelettte,autre protéine,True
2014-04-11,œufs durs,autre protéine,True
2014-08-11,1/2 œuf,autre protéine,True
2014-08-27,Boulettes de bœuf,autre protéine,True
2015-02-19,Rôti de bœuf Terre à l'assiette,autre protéine,True
2015-03-27,Galettes végétale,autre protéine,True
2015-05-04,Œufs durs,autre protéine,True
2015-05-19,Omelette,autre protéine,True
2015-05-29,Galettes végétales,autre protéine,True
2015-08-05,Rôti de bœuf,autre protéine,True
2015-09-11,omelette,autre protéine,True
2015-09-15,Chili de bœuf,autre protéine,True
2015-10-29,Rôti de bœuf Terre à l'assiette,autre protéine,True
2015-12-23,Salade verte / demi-oeuf,autre protéine,True
2016-01-04,Oeufs durs mayo,autre protéine,True
2016-03-07,chili de bœuf Socopa BBC,autre protéine,True
2016-04-19,Rôti de bœuf au jus,autre protéine,True
2016-07-07,Sauté de bœuf,autre protéine,True
2016-08-01,Salade/demi-oeuf,autre protéine,True
2016-11-21,Omelette bio,autre protéine,True
2016-12-09,Galette de soja à l'indienne,autre protéine,True
2017-02-17,Salade douceur / demi-oeuf,autre protéine,True
2017-03-09,Sauté de boeuf* bourguignon,autre protéine,True
2017-10-06,Omelette bio,autre protéine,True
2018-02-02,Oeuf dur bio° / mayonnaise,autre protéine,True
2018-03-19,Boulettes de boeuf* sauce barbecue,autre protéine,True
2018-08-16,Oeufs durs à la mayonnaise,autre protéine,True
2018-09-12,Omelette bio,autre protéine,True
2018-10-17,Omelette bio,autre protéine,True
2018-12-10,Boulettes de boeuf sauce tomate,autre protéine,True
2018-12-26,Omelette bio,autre protéine,True
2019-04-05,Salade douceur / demi-oeuf,autre protéine,True
2019-05-10,Salade verte / demi-oeuf bio,autre protéine,True
2019-07-10,Rôti de boeuf*,autre protéine,True
2019-10-31,Rôti de boeuf*,autre protéine,True
2019-11-07,Rôti de boeuf*,autre protéine,True
2019-12-09,Omelette bio,autre protéine,True
2020-01-03,Oeuf dur bio + sauce bechamel en barquette 12,autre protéine,True
2011-02-02,Rôti de boeuf,autre protéine,True
2011-03-04,Œufs brouillés,autre protéine,True
2011-04-14,Mâche demi-œuf,autre protéine,True
2011-05-20,Omelette,autre protéine,True
2011-08-12,Omelette,autre protéine,True
2011-11-09,rôti de bœuf+sauce tomate,autre protéine,True
2011-12-14,Omelette,autre protéine,True
2012-02-24,omelette,autre protéine,True
2012-03-28,sauté de bœuf au poivre,autre protéine,True
2012-05-03,Sauté de bœuf sauce poivre,autre protéine,True
2012-05-09,Omelette+ketchup,autre protéine,True
2012-06-15,Omelette,autre protéine,True
2012-07-31,Bettraves cuites / demi-oeuf,autre protéine,True
2012-08-22,Omelette,autre protéine,True
2012-09-05,Rôti de bœuf + ketchup,autre protéine,True
2012-09-10,omellette,autre protéine,True
2012-09-26,"Salade de blé bio (Blé, betteraves, œuf)",autre protéine,True
2012-10-05,Omelette,autre protéine,True
2012-12-31,Omelette,autre protéine,True
2013-09-03,Salade verte / demi-œuf,autre protéine,True
2013-10-21,Mâche / demi-œuf,autre protéine,True
2013-12-18,Salade verte/demi-œuf,autre protéine,True
2014-05-20,Rôti de bœuf,autre protéine,True
2014-09-12,Omelette,autre protéine,True
2014-09-26,1/2 œuf,autre protéine,True
2014-10-09,sauté de bœuf Bourguignon,autre protéine,True
2015-03-16,Boulettes de bœuf,autre protéine,True
2015-03-20,Salade/demi-œuf,autre protéine,True
2015-05-29,Salade douceur / demi-oeuf,autre protéine,True
2015-08-24,Boulettes de bœuf en tagine,autre protéine,True
2015-09-29,Merguez bœuf mouton agro,autre protéine,True
2015-10-09,pot au feu de bœuf,autre protéine,True
2015-10-16,omelette,autre protéine,True
2015-11-17,Rôti de bœuf,autre protéine,True
2016-06-09,Sauté de bœuf bourguignon,autre protéine,True
2016-07-19,Salade de PdT/tomate/oeuf,autre protéine,True
2016-11-10,Rôti de boeuf*,autre protéine,True
2017-01-12,Emincé de boeuf  Stogonoff,autre protéine,True
2017-02-23,Rôti de boeuf* fermier,autre protéine,True
2017-03-30,Rôti de boeuf*,autre protéine,True
2017-08-11,Salade verte / demi-oeuf bio,autre protéine,True
2017-08-28,Boulettes de boeuf* sauce barbecue,autre protéine,True
2018-07-02,Oeufs durs à la mayonnaise,autre protéine,True
2018-08-03,Salade verte / demi-oeuf,autre protéine,True
2018-09-17,Roti de boeuf*,autre protéine,True
2018-10-01,Boulettes de boeuf sauce tomate,autre protéine,True
2018-10-18,Boeuf* sauce aux champignons,autre protéine,True
2019-01-11,Omelette bio,autre protéine,True
2019-02-07,Roti de boeuf*,autre protéine,True
2019-02-13,Roti de boeuf*,autre protéine,True
2019-03-01,Endives / demi oeuf bio°,autre protéine,True
2019-08-07,Rôti de boeuf*,autre protéine,True
2019-08-14,Timbale de pätes bio au tofu fumé bio,autre protéine,True
2019-10-02,Oeufs durs à la mayonnaise,autre protéine,True
2011-01-11,sauté de bœuf Bourguignon,autre protéine,True
2011-03-30,Mâche / demi-œuf,autre protéine,True
2011-04-07,Couscous boulettes de bœuf,autre protéine,True
2011-05-19,Rôti de bœuf,autre protéine,True
2011-09-07,Tomates / demi-œuf,autre protéine,True
2011-10-04,emincé de bœuf Strogonoff,autre protéine,True
2011-12-02,omelette,autre protéine,True
2011-12-30,omelette,autre protéine,True
2012-02-15,demi-œuf,autre protéine,True
2012-03-12,Mâche / demi-œuf,autre protéine,True
2012-04-27,"salade P de terre, œuf durs",autre protéine,True
2012-07-13,omelette,autre protéine,True
2012-11-05,Omelette,autre protéine,True
2012-11-30,Omelette,autre protéine,True
2013-10-03,Rôti de bœuf,autre protéine,True
2013-10-04,Omelette,autre protéine,True
2013-11-08,Omelette,autre protéine,True
2013-12-13,Omelette,autre protéine,True
2014-03-11,Mâche / demi-œuf,autre protéine,True
2014-06-11,Rôti de bœuf,autre protéine,True
2014-07-25,Œuf durs,autre protéine,True
2014-08-20,Rôti de bœuf,autre protéine,True
2014-11-04,rôti de bœuf au jus,autre protéine,True
2014-12-22,Boulettes de bœuf en tagine,autre protéine,True
2015-01-22,Rôti de bœuf ketchup,autre protéine,True
2015-03-05,Rôti de bœuf au jus,autre protéine,True
2015-05-07,Rôti de bœuf  au jus,autre protéine,True
2015-06-16,Omelette,autre protéine,True
2015-07-31,Omelette,autre protéine,True
2015-09-04,CCAS : œuf mayonnaise,autre protéine,True
2015-09-08,Salade / demi-oeuf,autre protéine,True
2015-11-26,Boeuf braisé,autre protéine,True
2015-12-22,Rôti de bœuf,autre protéine,True
2016-02-24,Rôti de bœuf Terre à l'assiette,autre protéine,True
2016-07-21,Rôti de bœuf,autre protéine,True
2016-09-09,Omelette bio,autre protéine,True
2016-10-19,Rôti de boeuf*,autre protéine,True
2017-03-02,Rôti de boeuf*,autre protéine,True
2017-04-20,Rôti de boeuf* fermier,autre protéine,True
2017-05-04,Rôti de boeuf* sauce au poivre,autre protéine,True
2017-05-11,Emincé de boeuf* thaï,autre protéine,True
2017-11-23,Sauté de boeuf* bourguignon,autre protéine,True
2017-12-14,Emincé de boeuf* thaï,autre protéine,True
2018-01-11,Rôti de boeuf*,autre protéine,True
2018-02-06,Emincé de boeuf* thaï,autre protéine,True
2018-05-03,Sauté de boeuf* fermier,autre protéine,True
2018-06-21,Rôti de boeuf*,autre protéine,True
2018-09-13,Boeuf* sauce aux champignons,autre protéine,True
2018-11-05,Boulettes de boeuf sauce tomate,autre protéine,True
2019-01-25,Endives / demi oeuf bio°,autre protéine,True
2019-02-11,Salade verte+ surimi + oeuf,autre protéine,True
2019-03-07,Boeuf* sauce aux champignons,autre protéine,True
2019-07-23,Emincé de boeuf* thaï,autre protéine,True
2019-08-20,Emincé de boeuf* thaï,autre protéine,True
2020-01-13,Omelette bio,autre protéine,True
2011-01-10,Endives / demi-œuf,autre protéine,True
2011-04-04,Cœur de bœuf sauce dijonnaise,autre protéine,True
2011-05-09,lasagne de bœuf,autre protéine,True
2011-07-28,Couscous aux boulettes de bœuf,autre protéine,True
2011-09-28,Rôti de bœuf,autre protéine,True
2011-10-18,Mâche/demi-œuf,autre protéine,True
2012-01-10,sauté de  bœuf Bourguignon,autre protéine,True
2012-03-19,omelette,autre protéine,True
2012-03-28,Mâche / demi-œuf,autre protéine,True
2012-04-05,Couscous boulettes de bœuf,autre protéine,True
2012-06-05,rôti de bœuf,autre protéine,True
2012-06-06,boulettes de bœuf à l'indienne,autre protéine,True
2012-07-25,Omelette,autre protéine,True
2012-10-26,Omelette,autre protéine,True
2013-10-01,Œuf dur mayonnaise,autre protéine,True
2013-12-31,Salade verte / demi-œuf,autre protéine,True
2014-01-30,Bœuf bourguignon,autre protéine,True
2014-05-16,Tomate/demi-œuf,autre protéine,True
2014-07-18,Omelette,autre protéine,True
2014-10-06,Boulettes de bœuf en tagine,autre protéine,True
2014-12-05,salade / demi-œuf,autre protéine,True
2015-03-04,sauté de bœuf niçois,autre protéine,True
2015-03-13,Omelette,autre protéine,True
2015-04-23,"rôti de bœuf  Terre 
à l'assiette/ ketchup",autre protéine,True
2015-09-03,rôti de bœuf au jus,autre protéine,True
2015-09-16,rôti de bœuf,autre protéine,True
2015-09-28,rôti de bœuf,autre protéine,True
2015-12-08,Boulettes de bœuf sauce poivre,autre protéine,True
2016-03-04,Omelette,autre protéine,True
2016-03-17,Sauté de bœuf,autre protéine,True
2016-07-11,Boulettes de bœuf,autre protéine,True
2016-08-18,Rôti de bœuf,autre protéine,True
2016-09-08,Emincé de boeuf* thaï,autre protéine,True
2016-11-08,Boulettes de boeuf sauce tomate,autre protéine,True
2017-01-18,Flan caramel aux oeufs,autre protéine,True
2017-01-26,Emincé de boeuf* en goulasch,autre protéine,True
2017-05-12,Omelette bio,autre protéine,True
2017-06-30,Oeufs durs 1/2 par pers,autre protéine,True
2017-09-14,Rôti de boeuf*,autre protéine,True
2017-10-05,Rôti de boeuf*,autre protéine,True
2018-01-19,Omelette bio,autre protéine,True
2018-02-01,Rôti de boeuf*,autre protéine,True
2018-03-14,Sauté de boeuf* fermier,autre protéine,True
2018-04-18,Choux rouges bio° / demi-oeuf,autre protéine,True
2018-05-28,Boulettes de boeuf* sauce aigre douce,autre protéine,True
2018-05-31,Rôti de boeuf*,autre protéine,True
2018-08-29,Omelette bio,autre protéine,True
2019-02-15,Omelette bio,autre protéine,True
2019-03-25,Boulettes de boeuf sauce tomate,autre protéine,True
2011-01-28,Omelette,autre protéine,True
2011-02-21,sauté de boeuf AUX POIVRES,autre protéine,True
2019-10-17,Omelette bio,autre protéine,True
2019-10-22,Endives / demi oeuf bio°,autre protéine,True
2011-06-28,Rôti de bœuf foid,autre protéine,True
2019-11-14,Emincé de boeuf* sauce moutarde,autre protéine,True
2019-12-23,Omelette bio,autre protéine,True
2012-01-27,Omelette,autre protéine,True
2012-03-26,Parmentier de bœuf,autre protéine,True
2012-07-12,rôti de bœuf CCAS,autre protéine,True
2012-08-23,Couscous aux boulettes de bœuf,autre protéine,True
2012-09-06,œuf dur,autre protéine,True
2012-09-27,Rôti de bœuf + sauce au poivre,autre protéine,True
2012-11-12,Salade verte / demi-œuf,autre protéine,True
2012-12-06,Sauté de bœuf aux poivres,autre protéine,True
2013-11-21,Rôti de bœuf,autre protéine,True
2014-01-17,Omelette,autre protéine,True
2014-02-21,Omelette,autre protéine,True
2014-03-07,Omelette,autre protéine,True
2014-03-27,Endives/demi-œuf (educalim),autre protéine,True
2014-05-16,Endives /demi-œuf educalim,autre protéine,True
2014-07-03,Rôti de bœuf / ketchup,autre protéine,True
2014-09-11,Rôti de bœuf,autre protéine,True
2014-10-02,Rôti de bœuf,autre protéine,True
2014-11-10,hachis parmentier de bœuf,autre protéine,True
2014-12-15,lasagne de bœuf,autre protéine,True
2014-12-16,omelette,autre protéine,True
2015-01-29,Bœuf Bourguignon,autre protéine,True
2015-02-25,Sauté de bœuf Terre à l'assiette,autre protéine,True
2015-03-24,Rôti de bœuf sauce au poivre,autre protéine,True
2015-04-08,Boulettes de bœuf,autre protéine,True
2015-06-18,Rôti de bœuf / ketchup,autre protéine,True
2015-07-02,Rôti de bœuf froid,autre protéine,True
2015-10-30,Salade / demi-oeuf,autre protéine,True
2016-09-28,Oeufs durs à la mayonnaise,autre protéine,True
2016-11-09,Oeufs durs à la mayonnaise,autre protéine,True
2016-12-14,Boulettes de boeuf* en tajine,autre protéine,True
2016-12-29,Boulettes de boeuf* en tajine,autre protéine,True
2017-01-19,Rôti de boeuf*,autre protéine,True
2017-03-24,Endives / demi oeuf bio°,autre protéine,True
2017-04-26,Boeuf* bourguignon,autre protéine,True
2017-06-27,Boulettes de boeuf* en tajine,autre protéine,True
2017-08-01,Salade verte / demi-oeuf bio,autre protéine,True
2018-01-09,Choux rouges bio° / demi-oeuf,autre protéine,True
2018-03-08,Rôti de boeuf*,autre protéine,True
2018-03-27,Oeufs durs à la mayonnaise,autre protéine,True
2018-04-12,Rôti de boeuf*,autre protéine,True
2018-07-25,Omelette bio,autre protéine,True
2018-09-07,Salade verte / demi-oeuf,autre protéine,True
2018-11-22,Boeuf* sauce aux champignons,autre protéine,True
2019-04-26,Omelette bio,autre protéine,True
2019-05-16,Boulettes de boeuf sauce tomate,autre protéine,True
2019-05-29,Rôti de boeuf*,autre protéine,True
2019-07-03,Emincé de boeuf* thaï,autre protéine,True
2019-09-27,Timbale de pätes bio au tofu fumé bio,autre protéine,True
2019-10-01,Omelette bio,autre protéine,True
2019-11-26,Boulettes de boeuf* en tajine,autre protéine,True
2011-02-16,demi-œuf,autre protéine,True
2011-03-14,lasagne de bœuf,autre protéine,True
2011-03-28,Parmentier de bœuf,autre protéine,True
2011-05-11,Emincé de boeuf,autre protéine,True
2011-10-13,boulettes de bœuf,autre protéine,True
2011-10-24,salade / demi-œuf,autre protéine,True
2011-11-17,Mâche/demi-œuf,autre protéine,True
2012-02-27,lasagne de bœuf,autre protéine,True
2012-05-23,rôti de bœuf+keetchup,autre protéine,True
2012-08-10,omelette,autre protéine,True
2012-09-11,sauté de bœuf basse température,autre protéine,True
2012-10-15,Boulettes de bœuf en tagine,autre protéine,True
2012-11-15,Sauté de bœuf bourguignon,autre protéine,True
2012-11-20,Rôti de bœuf / ketchup,autre protéine,True
2012-12-21,Omelette,autre protéine,True
2013-09-04,Boulettes de bœuf sauce tomate,autre protéine,True
2013-11-22,Endives / demi-œuf (Educalim),autre protéine,True
2013-12-24,Omelette,autre protéine,True
2014-02-10,Salade /demi-œuf,autre protéine,True
2014-04-02,Rôti de bœuf+ KETCHUP,autre protéine,True
2014-04-30,"Salade de pommes de terre (Pomes de terre, tomate, œuf)",autre protéine,True
2014-07-29,Omelette,autre protéine,True
2014-10-30,Rôti de bœuf (la terre à l'assiette),autre protéine,True
2014-11-20,bœuf Bourguignon,autre protéine,True
2014-12-30,Omelette,autre protéine,True
2015-03-12,Sauté de bœuf bourguignon,autre protéine,True
2015-04-03,Salade verte/demi-œuf,autre protéine,True
2015-04-17,Omelette,autre protéine,True
2015-04-29,Sauté de bœuf Terre à l'assiette,autre protéine,True
2015-05-06,Omelette,autre protéine,True
2015-06-02,Rôti de bœuf,autre protéine,True
2015-06-08,Boulettes de bœuf en tagine,autre protéine,True
2015-10-02,Œuf dur mayonnaise,autre protéine,True
2015-11-13,Mâche/demi-oeuf,autre protéine,True
2015-12-04,Omelette,autre protéine,True
2016-01-14,Rôti de bœuf,autre protéine,True
2016-01-18,Endives/demi-oeuf,autre protéine,True
2016-03-18,Mâche / demi-oeuf,autre protéine,True
2016-04-15,Salade verte/ demi-oeuf,autre protéine,True
2016-05-30,Oeufs durs mayo,autre protéine,True
2016-06-02,Rôti de bœuf/ketchup,autre protéine,True
2016-06-16,Rôti de bœuf BBC,autre protéine,True
2016-06-24,Choux rouges / demi-oeuf,autre protéine,True
2016-08-04,Sauté de bœuf sce poivre,autre protéine,True
2016-08-08,Boulettes de bœuf,autre protéine,True
2016-09-12,Boulettes de boeuf* en tajine,autre protéine,True
2016-09-27,Rôti de boeuf* et moutarde,autre protéine,True
2016-12-08,Rôti de boeuf*,autre protéine,True
2017-01-12,Oeufs durs 1/2 par pers,autre protéine,True
2017-03-10,Omelette bio,autre protéine,True
2017-04-06,Emincé de boeuf* thaï,autre protéine,True
2017-04-28,Salade douceur / demi-oeuf,autre protéine,True
2017-05-23,Boulettes de boeuf* en tajine,autre protéine,True
2017-07-06,Sauté de boeuf* au gingembre,autre protéine,True
2017-07-25,Sauté de boeuf* à l'orange,autre protéine,True
2017-07-31,Boulettes de boeuf* sauce barbecue,autre protéine,True
2017-08-08,Rôti de boeuf*,autre protéine,True
2017-08-22,Emincé de boeuf* thaï,autre protéine,True
2017-10-24,Omelette bio,autre protéine,True
2017-11-28,Rôti de boeuf*,autre protéine,True
2018-04-17,Emincé de boeuf* thaï,autre protéine,True
2018-08-08,Omelette bio,autre protéine,True
2018-11-16,Salade verte / demi-oeuf,autre protéine,True
2019-02-18,Boulettes de boeuf sauce tomate,autre protéine,True
2019-03-26,Omelette bio,autre protéine,True
2019-04-09,Omelette bio,autre protéine,True
2019-04-15,Oeufs durs à la mayonnaise,autre protéine,True
2019-08-01,Sauté de boeuf *°,autre protéine,True
2019-08-22,Omelette bio,autre protéine,True
2019-09-10,Emincé de boeuf* thaï,autre protéine,True
2019-10-16,Sauté de boeuf* fermier,autre protéine,True
2019-11-04,Omelette bio,autre protéine,True
2020-01-16,Sauté de boeuf* bourguignon,autre protéine,True
2011-05-16,"Salade de pommes de terre (PdT, tomates des , œuf)",autre protéine,True
2011-07-13,rôti de bœuf,autre protéine,True
2011-08-11,Rôti de bœuf,autre protéine,True
2011-09-26,parmentier de bœuf,autre protéine,True
2011-11-21,sauté de bœuf sauce Dijonnaise,autre protéine,True
2012-02-20,sauté de boeuf AUX POIVRES,autre protéine,True
2012-02-29,roti de bœuf / ketchup,autre protéine,True
2012-04-17,Omelette,autre protéine,True
2012-06-26,Rôti de bœuf froid,autre protéine,True
2012-07-18,Sauté de boeuf basse température,autre protéine,True
2012-07-26,Couscous aux boulettes de bœuf,autre protéine,True
2012-10-29,Boulettes de bœuf en tagine,autre protéine,True
2014-02-10,Boulettes de bœuf sauce,autre protéine,True
2014-04-11,Carottes râpées bio/demi-œuf,autre protéine,True
2014-04-15,Rôti de boeuf,autre protéine,True
2014-04-24,Boulettes de bœuf,autre protéine,True
2014-06-06,Omelette,autre protéine,True
2014-10-15,Sauté de bœuf (Terre à l'assiette),autre protéine,True
2014-12-09,Rôti de bœuf,autre protéine,True
2015-02-20,Mâche/demi-œuf,autre protéine,True
2015-07-23,Salade verte/demi-œuf,autre protéine,True
2015-08-18,Rôti de boeuf,autre protéine,True
2015-12-07,Mâche / demi-oeuf,autre protéine,True
2016-02-18,Sauté de bœuf terre à l'assiette,autre protéine,True
2016-06-15,Sauté de boeuff sauce monégasque,autre protéine,True
2016-06-30,Rôti de bœuf,autre protéine,True
2017-01-31,Oeuf dur bio° / mayonnaise,autre protéine,True
2017-03-22,Boulettes de boeuf* sauce au poivre,autre protéine,True
2017-07-11,Rôti de boeuf*,autre protéine,True
2017-08-29,Salade verte / demi-oeuf bio,autre protéine,True
2017-12-01,Oeufs durs à la mayonnaise,autre protéine,True
2017-12-15,Omelette bio,autre protéine,True
2018-12-21,Choux rouge bio et demi oeuf,autre protéine,True
2018-12-27,Boeuf* sauce aux champignons,autre protéine,True
2019-01-14,Boulettes de boeuf sauce tomate,autre protéine,True
2019-04-18,Rôti de boeuf*,autre protéine,True
2019-09-05,Rôti de boeuf*,autre protéine,True
2019-09-26,Sauté de boeuf* fermier,autre protéine,True
2019-10-10,Emincé de boeuf* thaï,autre protéine,True
2019-12-06,Endives / demi oeuf bio°,autre protéine,True
2019-12-18,Sauté de boeuf* au gingembre,autre protéine,True
2011-02-10,Cœur de boeuf à la dijonnaise,autre protéine,True
2011-03-08,rôti de bœuf,autre protéine,True
2011-03-24,Omelette,autre protéine,True
2011-06-17,Omelette,autre protéine,True
2011-07-27,Omelette,autre protéine,True
2011-09-08,Rôti de bœuf,autre protéine,True
2011-10-06,omelette,autre protéine,True
2011-12-21,Rôti de bœuf / ketchup,autre protéine,True
2012-01-09,Endives / demi-œuf,autre protéine,True
2012-07-30,Sauté de boeuf cuit IQF,autre protéine,True
2012-08-09,rôti de bœuf,autre protéine,True
2012-09-06,salade / demi-œuf,autre protéine,True
2012-09-19,Boulettes de bœuf en tagine,autre protéine,True
2013-09-17,Sauté de bœuf Bourguignon,autre protéine,True
2013-10-16,OMELETTE,autre protéine,True
2013-12-09,sauté de bœuf Bourguignon,autre protéine,True
2014-02-26,sauté de Bœuf,autre protéine,True
2014-03-12,sauté de bœuf Cap44,autre protéine,True
2014-03-20,Rôti de bœuf/ketchup,autre protéine,True
2014-05-07,Rôti de bœuf Terre à l'assiette,autre protéine,True
2014-08-22,Omelette,autre protéine,True
2014-10-14,Omelette,autre protéine,True
2014-11-07,demi œuf,autre protéine,True
2014-11-21,omelette,autre protéine,True
2015-01-16,Carottes BIO râpées / demi-œuf,autre protéine,True
2015-02-06,Omelette,autre protéine,True
2015-02-24,Omelette,autre protéine,True
2015-07-22,Rôti de bœuf,autre protéine,True
2015-08-14,Salade verte/demi oeuf,autre protéine,True
2015-11-04,Sauté bœuf,autre protéine,True
2016-01-28,Sauté de bœuf BBC,autre protéine,True
2016-04-14,Rôti de bœuf Terre à l'assiette,autre protéine,True
2016-04-20,Bœuf braisé Terre à l'assiette,autre protéine,True
2016-04-27,Tomates/Demi-oeuf,autre protéine,True
2016-09-23,Salade verte / demi-oeuf bio,autre protéine,True
2016-10-12,Sauté de boeuf* sauce mexicaine,autre protéine,True
2016-11-24,Sauté de boeuf* bourguignon,autre protéine,True
2016-12-09,Oeuf dur bio° / mayonnaise,autre protéine,True
2017-02-03,Omelette bio,autre protéine,True
2017-02-08,Sauté de boeuf au gingembre,autre protéine,True
2017-06-13,Rôti de boeuf*,autre protéine,True
2017-09-15,Salade verte / demi-oeuf bio,autre protéine,True
2017-09-19,Emincé de boeuf* thaï,autre protéine,True
2017-12-29,Salade verte / demi-oeuf bio,autre protéine,True
2018-02-12,Boulettes de boeuf* sauce strogonoff,autre protéine,True
2018-03-09,Oeuf dur bio° / mayonnaise,autre protéine,True
2018-04-26,Rôti de boeuf*,autre protéine,True
2018-05-07,Boulettes de boeuf*,autre protéine,True
2018-05-18,Salade douceur / demi-oeuf,autre protéine,True
2018-07-12,Oeufs durs à la mayonnaise,autre protéine,True
2019-01-31,Boeuf* sauce aux champignons,autre protéine,True
2019-02-06,Salade de mache avec oeuf,autre protéine,True
2019-03-11,Oeufs durs à la mayonnaise,autre protéine,True
2019-05-14,Omelette bio,autre protéine,True
2019-05-23,Sauté de boeuf* au gingembre,autre protéine,True
2019-07-25,Omelette bio,autre protéine,True
2019-08-29,Boulettes de boeuf sauce tomate,autre protéine,True
2019-12-16,Salade verte / demi-oeuf bio,autre protéine,True
2019-12-24,Boulettes de boeuf sauce tomate,autre protéine,True
2011-01-04,Crêpe au fromage,feculent,True
2011-01-04,haricots beurre / haricots plats,feculent,True
2011-01-21,riz pilaf,feculent,True
2011-03-02,Frites,feculent,True
2011-04-12,Haricots verts,feculent,True
2011-04-19,semoule au lait maison,feculent,True
2011-04-28,Frites,feculent,True
2011-05-10,Pain perdu,feculent,True
2011-05-23,Riz,feculent,True
2011-06-16,pomme de terre rissolées,feculent,True
2011-06-22,Riz,feculent,True
2011-07-01,Chips,feculent,True
2011-07-29,Riz,feculent,True
2011-09-07,Eclair chocolat,feculent,True
2011-09-27,beignet choco,feculent,True
2011-10-14,quinoa,feculent,True
2011-11-10,riz au lait maison,feculent,True
2011-11-22,haricots verts,feculent,True
2011-11-23,chili con carné,feculent,True
2011-12-01,coquillettes,feculent,True
2011-12-23,riz,feculent,True
2012-01-03,hachis parmentier,feculent,True
2012-01-18,semoule,feculent,True
2012-01-23,Riz cantonnais,feculent,True
2012-01-26,Haricots verts,feculent,True
2012-02-06,Pizza,feculent,True
2012-02-24,riz au lait maison,feculent,True
2012-02-27,flan chocolat,feculent,True
2012-03-12,riz,feculent,True
2012-03-15,cordon bleu de volaille,feculent,True
2012-03-16,Liégeois chocolat,feculent,True
2012-03-20,Haricots beurre,feculent,True
2012-03-29,Eclair chocolat,feculent,True
2012-03-30,RIZ,feculent,True
2012-05-23,Haricots verts,feculent,True
2012-06-06,riz pilaf,feculent,True
2012-06-14,Flan caramel,feculent,True
2012-07-09,Timbale de pâtes au jambon,feculent,True
2012-07-31,Pâtes à la bolognaise,feculent,True
2012-08-27,Riz,feculent,True
2012-09-07,madeleine,feculent,True
2012-09-11,Haricots verts,feculent,True
2012-09-18,Eclair chocolat,feculent,True
2012-09-19,Tagliatelles,feculent,True
2012-10-04,Gâteau aux pépites de chocolat,feculent,True
2012-10-12,"Salade de blé bio (Blé bio, tomates, maïs)",feculent,True
2012-10-16,Salade de pâtes aux tomates confites,feculent,True
2012-11-15,Haricots verts,feculent,True
2012-11-27,Pizza,feculent,True
2013-01-02,Haricots verts,feculent,True
2013-01-15,Frites,feculent,True
2013-09-05,Haricots verts,feculent,True
2013-09-19,mogettes,feculent,True
2013-10-23,Haricots beurre,feculent,True
2013-11-27,Riz,feculent,True
2013-12-20,Crêpe au fromage,feculent,True
2014-01-08,coquillettes et râpé,feculent,True
2014-01-29,Gâteau au chocolat Catel Roc,feculent,True
2014-02-06,Timbale de pâtes au jambon,feculent,True
2014-02-13,Eclair chocolat,feculent,True
2014-02-24,Lasagnes,feculent,True
2014-03-13,Taboulé,feculent,True
2014-03-28,Crêpe au fromage,feculent,True
2014-03-31,Pâtes à la bolognaise,feculent,True
2014-04-08,Frites,feculent,True
2014-05-16,Riz basmati,feculent,True
2014-05-26,Pâtes à la bolognaise (Collet),feculent,True
2014-06-16,Poêlée victoria,feculent,True
2014-06-27,Marmite du Perray,feculent,True
2014-06-30,Raviolis,feculent,True
2014-08-04,raviolis 5/1,feculent,True
2014-08-21,Haricots verts,feculent,True
2014-09-16,purée de p de terre,feculent,True
2014-09-24,Pain perdu,feculent,True
2014-10-06,Semoule,feculent,True
2014-10-23,Haricots beurre,feculent,True
2014-10-27,Taboulé (semoule bio),feculent,True
2014-10-29,Fondant chocolat,feculent,True
2014-11-14,fondant de haricots verts,feculent,True
2014-12-01,Haricots verts SMR,feculent,True
2014-12-16,haricots verts,feculent,True
2014-12-18,fondant chocolat,feculent,True
2014-12-19,Crêpe au fromage,feculent,True
2014-12-23,poelée Victoria,feculent,True
2014-12-30,riz au lait,feculent,True
2015-01-14,Galette des rois pépites choco,feculent,True
2015-01-16,Riz basmati,feculent,True
2015-02-05,timbale de pâtes porc,feculent,True
2015-02-19,Frites,feculent,True
2015-02-25,Semoule,feculent,True
2015-03-11,Haricots beurre,feculent,True
2015-05-29,Riz basmati,feculent,True
2015-06-03,Liégeois choco,feculent,True
2015-06-11,Haricots verts coupés 5/1D'Aucy,feculent,True
2015-06-25,Crêpe au fromage,feculent,True
2015-07-01,Riz au lait maison,feculent,True
2015-08-05,Purée de pdt,feculent,True
2015-09-01,pomme de terre Smile,feculent,True
2015-09-03,haricots verts,feculent,True
2015-09-11,Eclair chocolat,feculent,True
2015-09-21,Flan caramel,feculent,True
2015-10-20,Frites,feculent,True
