Date,category,percent
2011-01-03,autre_proteine,0.0
2011-01-04,autre_proteine,0.0
2011-01-05,autre_proteine,0.0
2011-01-06,autre_proteine,0.0
2011-01-07,autre_proteine,0.0
2011-01-10,autre_proteine,0.16666666666666666
2011-01-11,autre_proteine,0.1
2011-01-12,autre_proteine,0.0
2011-01-13,autre_proteine,0.0
2011-01-14,autre_proteine,0.0
2011-01-17,autre_proteine,0.0
2011-01-18,autre_proteine,0.0
2011-01-19,autre_proteine,0.0
2011-01-20,autre_proteine,0.0
2011-01-21,autre_proteine,0.0
2011-01-24,autre_proteine,0.0
2011-01-25,autre_proteine,0.0
2011-01-26,autre_proteine,0.0
2011-01-27,autre_proteine,0.0
2011-01-28,autre_proteine,0.25
2011-01-31,autre_proteine,0.0
2011-02-01,autre_proteine,0.0
2011-02-02,autre_proteine,0.125
2011-02-03,autre_proteine,0.0
2011-02-04,autre_proteine,0.0
2011-02-07,autre_proteine,0.0
2011-02-08,autre_proteine,0.0
2011-02-09,autre_proteine,0.0
2011-02-10,autre_proteine,0.125
2011-02-11,autre_proteine,0.0
2011-02-14,autre_proteine,0.0
2011-02-15,autre_proteine,0.0
2011-02-16,autre_proteine,0.16666666666666666
2011-02-17,autre_proteine,0.0
2011-02-18,autre_proteine,0.0
2011-02-21,autre_proteine,0.125
2011-02-22,autre_proteine,0.0
2011-02-23,autre_proteine,0.0
2011-02-24,autre_proteine,0.0
2011-02-25,autre_proteine,0.0
2011-02-28,autre_proteine,0.0
2011-03-01,autre_proteine,0.0
2011-03-02,autre_proteine,0.0
2011-03-03,autre_proteine,0.0
2011-03-04,autre_proteine,0.2
2011-03-07,autre_proteine,0.0
2011-03-08,autre_proteine,0.1
2011-03-09,autre_proteine,0.0
2011-03-10,autre_proteine,0.0
2011-03-11,autre_proteine,0.0
2011-03-14,autre_proteine,0.16666666666666666
2011-03-15,autre_proteine,0.0
2011-03-16,autre_proteine,0.0
2011-03-17,autre_proteine,0.0
2011-03-18,autre_proteine,0.0
2011-03-21,autre_proteine,0.0
2011-03-22,autre_proteine,0.07142857142857142
2011-03-23,autre_proteine,0.0
2011-03-24,autre_proteine,0.16666666666666666
2011-03-25,autre_proteine,0.0
2011-03-28,autre_proteine,0.125
2011-03-29,autre_proteine,0.0
2011-03-30,autre_proteine,0.16666666666666666
2011-03-31,autre_proteine,0.0
2011-04-01,autre_proteine,0.0
2011-04-04,autre_proteine,0.08333333333333333
2011-04-05,autre_proteine,0.0
2011-04-06,autre_proteine,0.0
2011-04-07,autre_proteine,0.1
2011-04-08,autre_proteine,0.0
2011-04-11,autre_proteine,0.0
2011-04-12,autre_proteine,0.0
2011-04-13,autre_proteine,0.0
2011-04-14,autre_proteine,0.08333333333333333
2011-04-15,autre_proteine,0.0
2011-04-18,autre_proteine,0.0
2011-04-19,autre_proteine,0.2
2011-04-20,autre_proteine,0.0
2011-04-21,autre_proteine,0.0
2011-04-22,autre_proteine,0.0
2011-04-26,autre_proteine,0.1
2011-04-27,autre_proteine,0.0
2011-04-28,autre_proteine,0.0
2011-04-29,autre_proteine,0.0
2011-05-02,autre_proteine,0.0
2011-05-03,autre_proteine,0.0
2011-05-04,autre_proteine,0.0
2011-05-05,autre_proteine,0.0
2011-05-06,autre_proteine,0.0
2011-05-09,autre_proteine,0.125
2011-05-10,autre_proteine,0.0
2011-05-11,autre_proteine,0.1
2011-05-12,autre_proteine,0.0
2011-05-13,autre_proteine,0.0
2011-05-16,autre_proteine,0.06666666666666667
2011-05-17,autre_proteine,0.0
2011-05-18,autre_proteine,0.0
2011-05-19,autre_proteine,0.1
2011-05-20,autre_proteine,0.25
2011-05-23,autre_proteine,0.0
2011-05-24,autre_proteine,0.0
2011-05-25,autre_proteine,0.0
2011-05-26,autre_proteine,0.0
2011-05-27,autre_proteine,0.0
2011-05-30,autre_proteine,0.0
2011-06-01,autre_proteine,0.0
2011-06-06,autre_proteine,0.0
2011-06-07,autre_proteine,0.0
2011-06-08,autre_proteine,0.0
2011-06-09,autre_proteine,0.0
2011-06-10,autre_proteine,0.0
2011-06-14,autre_proteine,0.0
2011-06-15,autre_proteine,0.0
2011-06-16,autre_proteine,0.0
2011-06-17,autre_proteine,0.2
2011-06-20,autre_proteine,0.0
2011-06-21,autre_proteine,0.0
2011-06-22,autre_proteine,0.0
2011-06-23,autre_proteine,0.0
2011-06-24,autre_proteine,0.0
2011-06-27,autre_proteine,0.0
2011-06-28,autre_proteine,0.08333333333333333
2011-06-29,autre_proteine,0.0
2011-06-30,autre_proteine,0.0
2011-07-01,autre_proteine,0.0
2011-07-04,autre_proteine,0.0
2011-07-05,autre_proteine,0.0
2011-07-06,autre_proteine,0.0
2011-07-08,autre_proteine,0.0
2011-07-11,autre_proteine,0.0
2011-07-12,autre_proteine,0.0
2011-07-13,autre_proteine,0.1
2011-07-15,autre_proteine,0.0
2011-07-18,autre_proteine,0.0
2011-07-19,autre_proteine,0.0
2011-07-20,autre_proteine,0.0
2011-07-21,autre_proteine,0.0
2011-07-22,autre_proteine,0.0
2011-07-25,autre_proteine,0.0
2011-07-26,autre_proteine,0.0
2011-07-27,autre_proteine,0.2
2011-07-28,autre_proteine,0.1
2011-07-29,autre_proteine,0.0
2011-08-04,autre_proteine,0.0
2011-08-05,autre_proteine,0.0
2011-08-08,autre_proteine,0.0
2011-08-09,autre_proteine,0.0
2011-08-10,autre_proteine,0.0
2011-08-11,autre_proteine,0.125
2011-08-12,autre_proteine,0.2
2011-08-16,autre_proteine,0.0
2011-08-17,autre_proteine,0.0
2011-08-18,autre_proteine,0.0
2011-08-19,autre_proteine,0.0
